id,title,description,bank,provider,category,is_active,created_at,updated_at
162,La Biferia,20% dto. lunes a sábado,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849860,2025-06-14T00:15:33.849861
163,Clínica Versalles,Hasta 50% dto.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849868,2025-06-14T00:15:33.849869
164,SUSHI THAI,20% dto. lunes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849876,2025-06-14T00:15:33.849877
165,511 The Hemingway Room,20% dto. lunes y martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849883,2025-06-14T00:15:33.849885
166,Tropicalia,20% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849891,2025-06-14T00:15:33.849893
167,CONFITERIA LARBOS,"20% dto. lunes, martes y miércoles",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849899,2025-06-14T00:15:33.849900
168,Clínica Bast,20% dto. martes y miércoles presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849908,2025-06-14T00:15:33.849909
169,Carolina Varela,Paga en 4 a 12 cuotas sin interés.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849916,2025-06-14T00:15:33.849917
170,Caleta la Reina,25% dto. miércoles y jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849924,2025-06-14T00:15:33.849926
171,NOLIA,20% dto. martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849932,2025-06-14T00:15:33.849934
172,BAR ENIGMA,20% dto. martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849940,2025-06-14T00:15:33.849942
173,Make Make,20% dto. lunes a jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849948,2025-06-14T00:15:33.849949
174,CHIAROSCURO PANORAMICO,20% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849956,2025-06-14T00:15:33.849957
175,ZAIKA COMIDA INDIA,20% dto. los sábados,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849964,2025-06-14T00:15:33.849965
176,CASAGIARDINO,20% dto. martes a domingo,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849972,2025-06-14T00:15:33.849974
177,PAWER,Hasta 18% dto. en contratación de planes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849980,2025-06-14T00:15:33.849981
178,El Ají Seco Maipú,20% dto. lunes a jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849988,2025-06-14T00:15:33.849989
179,Kechua,20% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.849996,2025-06-14T00:15:33.849997
180,VERDE SAZÓN,25% dto de lunes a sábado,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850004,2025-06-14T00:15:33.850005
181,SOCIEDAD O306,20% dto. los martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850012,2025-06-14T00:15:33.850013
182,Tigre Bravo,lunes a jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850019,2025-06-14T00:15:33.850021
183,VistAndes,20% dto. lunes a domingo,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850027,2025-06-14T00:15:33.850028
184,AquaChile,20% dto los jueves online y presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850035,2025-06-14T00:15:33.850036
185,Azaleia,"20% dto. los miércoles, jueves y viernes en compra online",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850043,2025-06-14T00:15:33.850044
186,ESTACIONAMIENTO AUTOPARK,20% dto todos los días online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850051,2025-06-14T00:15:33.850052
187,Deysa Care,20% dto todos los días online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850059,2025-06-14T00:15:33.850060
188,Tortas Amelia,20% dto todos los días online y presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850067,2025-06-14T00:15:33.850068
189,Minata Clean Beauty,20% dto los martes online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850075,2025-06-14T00:15:33.850076
190,Taco Bell,40% dto los jueves presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850083,2025-06-14T00:15:33.850084
191,Nosu,20% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850091,2025-06-14T00:15:33.850092
192,TUA,20% dto. los miércoles en compra online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850098,2025-06-14T00:15:33.850100
193,María Pompón,15% dto. adicional lunes y miércoles presencial y online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850107,2025-06-14T00:15:33.850108
194,Dily,Hasta 30% dto todos los días online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850116,2025-06-14T00:15:33.850118
195,AutoExpertos,25% dto todos los días online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850125,2025-06-14T00:15:33.850126
196,ProwashGo,20% dto lunes a sábado online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850133,2025-06-14T00:15:33.850135
197,icarcheck,20% dto todos los días online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850142,2025-06-14T00:15:33.850143
198,GOOTA,20% dto. en alimentos probióticos,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850150,2025-06-14T00:15:33.850151
199,FCO Motor Services,25% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850158,2025-06-14T00:15:33.850159
200,Mercado Carozzi,Desde 20% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850166,2025-06-14T00:15:33.850167
201,Zenclinic dental,30% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850174,2025-06-14T00:15:33.850175
202,EVERLAST,30% dto. todos los lunes en compra presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850181,2025-06-14T00:15:33.850183
203,Petrizzio,30% dto. jueves y viernes en petrizzio.cl,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850189,2025-06-14T00:15:33.850190
204,Ancares Café,20% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850197,2025-06-14T00:15:33.850198
205,3INA,20% dto. martes y miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850205,2025-06-14T00:15:33.850206
206,Cine Star,Canjea hasta el 100% con tus Dólares-Premio.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850213,2025-06-14T00:15:33.850214
207,Eshopex,20% dto. en flete internacional.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850221,2025-06-14T00:15:33.850222
208,Tanaka Vitacura Dólares Premio,Consumo por $50.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850229,2025-06-14T00:15:33.850230
209,All Play Kids Zone,20% dto. lunes a viernes de manera presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850257,2025-06-14T00:15:33.850259
210,Laqu,20% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850266,2025-06-14T00:15:33.850267
211,CONSERBAR,20% dto. miércoles y sábado,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850282,2025-06-14T00:15:33.850284
212,Carl’s Jr.,20% dto. todos los miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850291,2025-06-14T00:15:33.850292
213,Fashion's Park,Hasta 25% dto. adicional en compra online y presencial.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850299,2025-06-14T00:15:33.850301
214,Quiero Mi Masaje,20% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850308,2025-06-14T00:15:33.850309
215,Gaes,Paga en 13 a 24 cuotas sin interés.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850315,2025-06-14T00:15:33.850317
216,HIFI,4 a 24 cuotas sin interes.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850323,2025-06-14T00:15:33.850324
217,WOM,Paga en 13 a 24 cuotas sin interés,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850331,2025-06-14T00:15:33.850332
218,VTR,Paga en 13 a 18 cuotas sin interés todos tus equipos nuevos,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850339,2025-06-14T00:15:33.850340
219,Horwin,Paga en 13 a 24 cuotas sin interés.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850347,2025-06-14T00:15:33.850348
220,CNO,Paga en 7 a 12 cuotas sin interés tus tratamientos odontológicos en clínicas pertenecientes a CNO,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850355,2025-06-14T00:15:33.850356
221,Be electric,Paga en 6 a 24 cuotas sin interés todos los días en productos.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850365,2025-06-14T00:15:33.850366
222,Abastible,Paga en 13 a 24 cuotas sin interés,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850373,2025-06-14T00:15:33.850374
223,LA MURTA,20% dto. viernes a domingo,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850381,2025-06-14T00:15:33.850382
224,Burger vs Pizza,"20% dto. viernes, sábado y domingo",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850388,2025-06-14T00:15:33.850390
225,EMPIRICO,20% dto. los miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850396,2025-06-14T00:15:33.850398
226,SABOR X2,20% dto. lunes a jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850404,2025-06-14T00:15:33.850405
227,Saki,20% de dto. martes y jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850412,2025-06-14T00:15:33.850413
228,La Bonaerense,20% dcto. de lunes a jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850419,2025-06-14T00:15:33.850421
229,HELADERIA LARRS,30% dto. los días lunes pagando con tus Tarjetas del Chile,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850427,2025-06-14T00:15:33.850428
230,Buffet Express,20% dto. Lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850436,2025-06-14T00:15:33.850437
231,SmellWell,20% dto. en compras online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850444,2025-06-14T00:15:33.850445
232,Keds,"20% dto. los miércoles, jueves y viernes en compra online",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850452,2025-06-14T00:15:33.850453
233,Hush Puppies Kids,"20% dto. los miércoles, jueves y viernes en compra online",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850460,2025-06-14T00:15:33.850461
234,Mountain Hardwear,"20% dto. los miércoles, jueves y viernes en compra online",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850469,2025-06-14T00:15:33.850470
235,Bsoul,"20% dto. los miércoles, jueves y viernes en compra online",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850478,2025-06-14T00:15:33.850479
236,Billabong,"20% dto. los miércoles, jueves y viernes en compra online",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850486,2025-06-14T00:15:33.850487
237,BURTON,"20% dto. miércoles, jueves y viernes en compra online",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850495,2025-06-14T00:15:33.850496
238,Orquídea,25% dto. los días lunes en compras presenciales,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850503,2025-06-14T00:15:33.850504
239,ToGo,25% dto. Todos los días en compra online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850511,2025-06-14T00:15:33.850512
240,Bigos,Todos los viernes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850519,2025-06-14T00:15:33.850520
241,BUG ME,Todos los días en compra online.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850526,2025-06-14T00:15:33.850527
242,Clínica Dental Santorini,50% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850534,2025-06-14T00:15:33.850536
243,Maison Niche,20% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850543,2025-06-14T00:15:33.850544
244,Jansport,"20% dcto. los miércoles, jueves y viernes en compra online",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850551,2025-06-14T00:15:33.850552
245,Calpany,"20% dcto. los miércoles, jueves y viernes en compra online",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850559,2025-06-14T00:15:33.850560
246,Element,"20% dcto. los miércoles, jueves y viernes en compra online",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850567,2025-06-14T00:15:33.850568
247,AKALI,Hasta 40% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850576,2025-06-14T00:15:33.850577
248,Koychi Korean Street Food,25% dto. todos los miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850584,2025-06-14T00:15:33.850585
249,Pizzeria Capri Dólares Premio,Consumo por $30.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850592,2025-06-14T00:15:33.850593
250,Capogrossi Dólares Premio,Consumo por $80.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850600,2025-06-14T00:15:33.850602
251,Restaurante Hotel Magnolia Dólares Premio,Consumo por $50.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850608,2025-06-14T00:15:33.850610
252,Áurea Dólares Premio,Consumo por $50.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850617,2025-06-14T00:15:33.850618
253,Majestic Dólares Premio,Consumo por $50.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850625,2025-06-14T00:15:33.850626
254,Tanaka La Dehesa Dólares Premio,Consumo por $80.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850633,2025-06-14T00:15:33.850635
255,La Cocina de Javier Dólares Premio,Consumo por $50.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850642,2025-06-14T00:15:33.850643
256,YMA Dólares Premio,Consumo por $50.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850650,2025-06-14T00:15:33.850651
257,Cocoa Dólares Premio,Consumo por $50.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850658,2025-06-14T00:15:33.850659
258,Zanzíbar Dólares Premio,Consumo por $50.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850666,2025-06-14T00:15:33.850667
259,Clínica Abedules,Paga en 4 a 12 cuotas sin interés.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850674,2025-06-14T00:15:33.850675
260,Pitísimas,20% dto. todos los días en pitisimas.cl,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850713,2025-06-14T00:15:33.850715
261,CLÍNICA ESTÉTICA BIEN ÊTRE,"Hasta 20% dto en limpiezas faciales, masajes y tratamientos corporales.",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850723,2025-06-14T00:15:33.850725
262,Amandine Bistró Dólares Premio,Consumo por $80.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850733,2025-06-14T00:15:33.850734
263,Cafetería Espresso Dólares Premio,Consumo por $10.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850741,2025-06-14T00:15:33.850742
264,Ciudadano Dólares Premio,Consumo por $50.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850749,2025-06-14T00:15:33.850750
265,La Tabla Dólares Premio,Consumo por $40.000,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850757,2025-06-14T00:15:33.850758
266,BSoul,"20% dcto. miércoles, jueves y viernes en compra presencial",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850765,2025-06-14T00:15:33.850766
267,SURISTA,"20% dto. viernes, sábado y domingo",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850773,2025-06-14T00:15:33.850775
268,Sabores del Perú,"20% dto. lunes, martes y sábado",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850781,2025-06-14T00:15:33.850782
269,Favara,20% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850789,2025-06-14T00:15:33.850790
270,SELVADO,20% dto. Todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850796,2025-06-14T00:15:33.850797
271,GALPÓN ALONSO,20% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850804,2025-06-14T00:15:33.850805
272,YOYO TEA,20% dto. Todos los días en compra online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850812,2025-06-14T00:15:33.850813
273,Tienda Friosur,"20% dto. todos los lunes, martes y miércoles",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850820,2025-06-14T00:15:33.850821
274,Geomar,20% dto. Todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850828,2025-06-14T00:15:33.850829
275,Viña Clos de Luz,30% dto. Todos los días en compra online y tours degustación,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850835,2025-06-14T00:15:33.850836
276,Europa Secreta,20% dto. Todos los días en compra online y presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850844,2025-06-14T00:15:33.850845
277,BIGU,20% dto. Todos los días en compra online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850852,2025-06-14T00:15:33.850854
278,Canasta Raíces Sanas,20% dto. en compras online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850861,2025-06-14T00:15:33.850862
279,Alma Salud,Hasta 30% dto. Todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850869,2025-06-14T00:15:33.850870
280,Tendencias Gourmet,20% dto.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850877,2025-06-14T00:15:33.850878
281,Lola Lash,Hasta 25% dto.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850885,2025-06-14T00:15:33.850886
282,VIOLETA RESTAURANT,20% dto. martes y jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850892,2025-06-14T00:15:33.850893
283,THAI EXPRESS,20% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850900,2025-06-14T00:15:33.850901
284,MALEVOLO PIZZA,20% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850908,2025-06-14T00:15:33.850909
285,Hacienda el Llano,20% dto. Martes y Miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850916,2025-06-14T00:15:33.850917
286,California Cantina,"20% dto. Lunes, martes y domingo",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850924,2025-06-14T00:15:33.850925
287,RUGENDAS,20% dto. Todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850931,2025-06-14T00:15:33.850933
288,MALDITO ARROZ,20% dto. lunes y martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850939,2025-06-14T00:15:33.850941
289,B BAR,20% dto. Viernes y sábado.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850947,2025-06-14T00:15:33.850948
290,Castillo Hamburgo,20% dto. Martes y miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850955,2025-06-14T00:15:33.850956
291,Quercus,20% dto. los martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850962,2025-06-14T00:15:33.850964
292,Paladar Restobar,20% dto. martes y miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850970,2025-06-14T00:15:33.850971
293,Emporio San Marco,20% dto. los lunes en compra presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850978,2025-06-14T00:15:33.850979
294,Olivia Trattoria,20% dto. lunes y viernes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850986,2025-06-14T00:15:33.850987
295,Lomo de la Fuente,20% dto. lunes a jueves,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.850994,2025-06-14T00:15:33.850995
296,Sabores del Ají Seco,"20% dto. Lunes, martes y sábado",bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851001,2025-06-14T00:15:33.851002
297,Green Poke,20% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851009,2025-06-14T00:15:33.851010
298,Cinque Pizza Restaurant,25% dto. martes y miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851017,2025-06-14T00:15:33.851018
299,SENIOR SUITES,Hasta 15% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851025,2025-06-14T00:15:33.851026
300,Fondo de Cultura Económica,25% dto en compra presencial y online.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851033,2025-06-14T00:15:33.851034
301,KEYPA,40% dcto. Todos los días en compra online.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851041,2025-06-14T00:15:33.851042
302,CIRCUS BARBER SHOP,20% dto. lunes a miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851049,2025-06-14T00:15:33.851050
303,TRATUR,22% dcto. Todos los días en compra online,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851057,2025-06-14T00:15:33.851058
304,AC Odontología,50% de descuento.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851065,2025-06-14T00:15:33.851066
305,Ciudad Vieja,20% dto. martes y miércoles,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851073,2025-06-14T00:15:33.851074
306,ZenClinic,Paga tu tratamiento odontológico en 4 a 12 cuotas sin interés.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851081,2025-06-14T00:15:33.851082
307,Citadelle,20% dto. martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851089,2025-06-14T00:15:33.851090
308,First Security,60% dcto. todos los dias,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851097,2025-06-14T00:15:33.851098
309,YALE,20% dto. En toda la tienda.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851104,2025-06-14T00:15:33.851106
310,Mattarello,20% dto. lunes y martes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851112,2025-06-14T00:15:33.851113
311,Clínica Agua,Hasta 40% dto. En tratamientos presenciales todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851119,2025-06-14T00:15:33.851120
312,ALMAPIEL,20% dto. adicional todos los días en compra online y presencial.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851152,2025-06-14T00:15:33.851154
313,Clínica Ortodoncia Antonella Sivori,Hasta 35% dto. En prestaciones seleccionadas,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851162,2025-06-14T00:15:33.851163
314,CLINICA NACE,15% dto. todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851170,2025-06-14T00:15:33.851171
315,Saint Patrick´s Day,15% dto. todos los lunes,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851178,2025-06-14T00:15:33.851179
316,Pollo Rey,20% dcto. en delivery de lunes a jueves.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851186,2025-06-14T00:15:33.851187
317,BurgerBeef,20% dcto. en delivery de lunes a jueves.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851194,2025-06-14T00:15:33.851195
318,Néctar Deco,20% dcto. Todos los días en compras presencial,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851202,2025-06-14T00:15:33.851203
319,Ocarrol Rent a Car,30% dto. En arriendos de vehículos,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851210,2025-06-14T00:15:33.851211
320,MUEBLES EL CIPRÉS,Hasta 20% dcto Todos los días,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851218,2025-06-14T00:15:33.851219
321,Velvet Bakery,20% dto. de lunes a jueves de 10:00 a 19:00 hrs,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851226,2025-06-14T00:15:33.851227
322,Smartdent,Hasta 60% dto. En prestaciones presenciales,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851234,2025-06-14T00:15:33.851235
323,CELIV,20% dcto los días martes.,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851241,2025-06-14T00:15:33.851243
324,ENGINTEL,20% dto en programas Let´s learn together,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851249,2025-06-14T00:15:33.851250
325,Viña Espaldares del Maipo,20% dto. En compras presenciales,bancodechile,Banco de Chile,Beneficios Bancarios,1,2025-06-14T00:15:33.851257,2025-06-14T00:15:33.851258
